<burst #, pair #> T1, T2, T3, T4
<burst 0, pair 0> e5cf907c.29ba5e35, e5cf907c.2c49ba5e, e5cf907c.2c49ba5e, e5cf907c.2c49ba5e
<burst 0, pair 1> e5cf907c.6d916872, e5cf907c.6fdf3b64, e5cf907c.6fdf3b64, e5cf907c.6fdf3b64
<burst 0, pair 2> e5cf907c.72f1a9fb, e5cf907c.753f7ced, e5cf907c.753f7ced, e5cf907c.753f7ced
<burst 0, pair 3> e5cf907c.7810624d, e5cf907c.7a5e353f, e5cf907c.7a5e353f, e5cf907c.7a5e353f
<burst 0, pair 4> e5cf907c.7d2f1a9f, e5cf907c.7f7ced91, e5cf907c.7f7ced91, e5cf907c.7f7ced91
<burst 0, pair 5> e5cf907c.824dd2f1, e5cf907c.849ba5e3, e5cf907c.849ba5e3, e5cf907c.849ba5e3
<burst 0, pair 6> e5cf907c.876c8b43, e5cf907c.89ba5e35, e5cf907c.89ba5e35, e5cf907c.89ba5e35
<burst 0, pair 7> e5cf907c.8c8b4395, e5cf907c.8ed91687, e5cf907c.8f1a9fbe, e5cf907c.8ed91687
<burst 1, pair 0> e5cf90f4.9b645a1c, e5cf90f4.9db22d0e, e5cf90f4.9df3b645, e5cf90f4.9db22d0e
<burst 1, pair 1> e5cf90f4.a0c49ba5, e5cf90f4.a3126e97, e5cf90f4.a3126e97, e5cf90f4.a3126e97
<burst 1, pair 2> e5cf90f4.a5a1cac0, e5cf90f4.a7ef9db2, e5cf90f4.a7ef9db2, e5cf90f4.a7ef9db2
<burst 1, pair 3> e5cf90f4.aac08312, e5cf90f4.ad0e5604, e5cf90f4.ad0e5604, e5cf90f4.ad0e5604
<burst 1, pair 4> e5cf90f4.afdf3b64, e5cf90f4.b22d0e56, e5cf90f4.b22d0e56, e5cf90f4.b22d0e56
<burst 1, pair 5> e5cf90f4.b4fdf3b6, e5cf90f4.b70a3d70, e5cf90f4.b74bc6a7, e5cf90f4.b70a3d70
<burst 1, pair 6> e5cf90f4.b9db22d0, e5cf90f4.bc28f5c2, e5cf90f4.bc28f5c2, e5cf90f4.bc28f5c2
<burst 1, pair 7> e5cf90f4.bef9db22, e5cf90f4.c147ae14, e5cf90f4.c147ae14, e5cf90f4.c147ae14
<burst 2, pair 0> e5cf916c.c45a1cac, e5cf916c.c6e978d4, e5cf916c.c6e978d4, e5cf916c.c6e978d4
<burst 2, pair 1> e5cf916c.c978d4fd, e5cf916c.cbc6a7ef, e5cf916c.cbc6a7ef, e5cf916c.cbc6a7ef
<burst 2, pair 2> e5cf916c.ce147ae1, e5cf916c.d0624dd2, e5cf916c.d0624dd2, e5cf916c.d0624dd2
<burst 2, pair 3> e5cf916c.d2f1a9fb, e5cf916c.d4fdf3b6, e5cf916c.d53f7ced, e5cf916c.d4fdf3b6
<burst 2, pair 4> e5cf916c.d78d4fdf, e5cf916c.d9db22d0, e5cf916c.d9db22d0, e5cf916c.d9db22d0
<burst 2, pair 5> e5cf916c.dc6a7ef9, e5cf916c.deb851eb, e5cf916c.deb851eb, e5cf916c.deb851eb
<burst 2, pair 6> e5cf916c.e10624dd, e5cf916c.e353f7ce, e5cf916c.e353f7ce, e5cf916c.e353f7ce
<burst 2, pair 7> e5cf916c.e5a1cac0, e5cf916c.e7ef9db2, e5cf916c.e7ef9db2, e5cf916c.e7ef9db2
<burst 3, pair 0> e5cf91e4.eac08312, e5cf91e4.ed4fdf3b, e5cf91e4.ed916872, e5cf91e4.ed4fdf3b
<burst 3, pair 1> e5cf91e4.f0624dd2, e5cf91e4.f2f1a9fb, e5cf91e4.f2f1a9fb, e5cf91e4.f2f1a9fb
<burst 3, pair 2> e5cf91e4.f5c28f5c, e5cf91e4.f851eb85, e5cf91e4.f851eb85, e5cf91e4.f851eb85
<burst 3, pair 3> e5cf91e4.fb22d0e5, e5cf91e4.fd70a3d7, e5cf91e4.fdb22d0e, e5cf91e4.fd70a3d7
<burst 3, pair 4> e5cf91e5.00418937, e5cf91e5.02d0e560, e5cf91e5.02d0e560, e5cf91e5.02d0e560
<burst 3, pair 5> e5cf91e5.05e353f7, e5cf91e5.0872b020, e5cf91e5.0872b020, e5cf91e5.0872b020
<burst 3, pair 6> e5cf91e5.0b439581, e5cf91e5.0dd2f1a9, e5cf91e5.0dd2f1a9, e5cf91e5.0dd2f1a9
<burst 3, pair 7> e5cf91e5.10e56041, e5cf91e5.13333333, e5cf91e5.13333333, e5cf91e5.13333333
<burst 4, pair 0> e5cf925d.16872b02, e5cf925d.19581062, e5cf925d.19581062, e5cf925d.19581062
<burst 4, pair 1> e5cf925d.1c28f5c2, e5cf925d.1e76c8b4, e5cf925d.1eb851eb, e5cf925d.1e76c8b4
<burst 4, pair 2> e5cf925d.2189374b, e5cf925d.24189374, e5cf925d.24189374, e5cf925d.24189374
<burst 4, pair 3> e5cf925d.26a7ef9d, e5cf925d.29374bc6, e5cf925d.29374bc6, e5cf925d.29374bc6
<burst 4, pair 4> e5cf925d.2bc6a7ef, e5cf925d.2e560418, e5cf925d.2e560418, e5cf925d.2e560418
<burst 4, pair 5> e5cf925d.30e56041, e5cf925d.3374bc6a, e5cf925d.3374bc6a, e5cf925d.3374bc6a
<burst 4, pair 6> e5cf925d.36041893, e5cf925d.389374bc, e5cf925d.389374bc, e5cf925d.389374bc
<burst 4, pair 7> e5cf925d.3b645a1c, e5cf925d.3df3b645, e5cf925d.3df3b645, e5cf925d.3df3b645
<burst 5, pair 0> e5cf92d5.4147ae14, e5cf92d5.44189374, e5cf92d5.44189374, e5cf92d5.44189374
<burst 5, pair 1> e5cf92d5.472b020c, e5cf92d5.4978d4fd, e5cf92d5.4978d4fd, e5cf92d5.4978d4fd
<burst 5, pair 2> e5cf92d5.4c49ba5e, e5cf92d5.4ed91687, e5cf92d5.4ed91687, e5cf92d5.4ed91687
<burst 5, pair 3> e5cf92d5.51a9fbe7, e5cf92d5.53f7ced9, e5cf92d5.53f7ced9, e5cf92d5.53f7ced9
<burst 5, pair 4> e5cf92d5.56c8b439, e5cf92d5.59581062, e5cf92d5.59581062, e5cf92d5.59581062
<burst 5, pair 5> e5cf92d5.5c28f5c2, e5cf92d5.5e76c8b4, e5cf92d5.5e76c8b4, e5cf92d5.5e76c8b4
<burst 5, pair 6> e5cf92d5.6147ae14, e5cf92d5.63d70a3d, e5cf92d5.63d70a3d, e5cf92d5.63d70a3d
<burst 5, pair 7> e5cf92d5.672b020c, e5cf92d5.6978d4fd, e5cf92d5.6978d4fd, e5cf92d5.6978d4fd
<burst 6, pair 0> e5cf934d.6c8b4395, e5cf934d.6f9db22d, e5cf934d.6f9db22d, e5cf934d.6f9db22d
<burst 6, pair 1> e5cf934d.72b020c4, e5cf934d.75810624, e5cf934d.75810624, e5cf934d.75810624
<burst 6, pair 2> e5cf934d.7810624d, e5cf934d.7ae147ae, e5cf934d.7ba5e353, e5cf934d.7ae147ae
<burst 6, pair 3> e5cf934d.7e353f7c, e5cf934d.810624dd, e5cf934d.810624dd, e5cf934d.810624dd
<burst 6, pair 4> e5cf934d.83d70a3d, e5cf934d.86a7ef9d, e5cf934d.86a7ef9d, e5cf934d.86a7ef9d
<burst 6, pair 5> e5cf934d.8978d4fd, e5cf934d.8c49ba5e, e5cf934d.8c49ba5e, e5cf934d.8c49ba5e
<burst 6, pair 6> e5cf934d.8ed91687, e5cf934d.91a9fbe7, e5cf934d.91a9fbe7, e5cf934d.91a9fbe7
<burst 6, pair 7> e5cf934d.947ae147, e5cf934d.974bc6a7, e5cf934d.974bc6a7, e5cf934d.974bc6a7
<burst 7, pair 0> e5cf93c5.9a1cac08, e5cf93c5.9ced9168, e5cf93c5.9d2f1a9f, e5cf93c5.9ced9168
<burst 7, pair 1> e5cf93c5.a0000000, e5cf93c5.a28f5c28, e5cf93c5.a28f5c28, e5cf93c5.a28f5c28
<burst 7, pair 2> e5cf93c5.a51eb851, e5cf93c5.a7ef9db2, e5cf93c5.a7ef9db2, e5cf93c5.a7ef9db2
<burst 7, pair 3> e5cf93c5.aa7ef9db, e5cf93c5.ad4fdf3b, e5cf93c5.ad4fdf3b, e5cf93c5.ad4fdf3b
<burst 7, pair 4> e5cf93c5.afdf3b64, e5cf93c5.b26e978d, e5cf93c5.b2b020c4, e5cf93c5.b26e978d
<burst 7, pair 5> e5cf93c5.b53f7ced, e5cf93c5.b7ced916, e5cf93c5.b7ced916, e5cf93c5.b7ced916
<burst 7, pair 6> e5cf93c5.ba5e353f, e5cf93c5.bd2f1a9f, e5cf93c5.bd2f1a9f, e5cf93c5.bd2f1a9f
<burst 7, pair 7> e5cf93c5.c0000000, e5cf93c5.c28f5c28, e5cf93c5.c2d0e560, e5cf93c5.c28f5c28
<burst 8, pair 0> e5cf943d.c5a1cac0, e5cf943d.c872b020, e5cf943d.c872b020, e5cf943d.c872b020
<burst 8, pair 1> e5cf943d.cb851eb8, e5cf943d.ce560418, e5cf943d.ce560418, e5cf943d.ce560418
<burst 8, pair 2> e5cf943d.d0e56041, e5cf943d.d3b645a1, e5cf943d.d3b645a1, e5cf943d.d3b645a1
<burst 8, pair 3> e5cf943d.d6872b02, e5cf943d.d9581062, e5cf943d.d9581062, e5cf943d.d9581062
<burst 8, pair 4> e5cf943d.dbe76c8b, e5cf943d.deb851eb, e5cf943d.def9db22, e5cf943d.deb851eb
<burst 8, pair 5> e5cf943d.e189374b, e5cf943d.e45a1cac, e5cf943d.e45a1cac, e5cf943d.e45a1cac
<burst 8, pair 6> e5cf943d.e72b020c, e5cf943d.e9fbe76c, e5cf943d.e9fbe76c, e5cf943d.e9fbe76c
<burst 8, pair 7> e5cf943d.eccccccc, e5cf943d.ef9db22d, e5cf943d.efdf3b64, e5cf943d.ef9db22d
<burst 9, pair 0> e5cf94b5.f2b020c4, e5cf94b5.f5810624, e5cf94b5.f6041893, e5cf94b5.f5810624
<burst 9, pair 1> e5cf94b5.f89374bc, e5cf94b5.fb645a1c, e5cf94b5.fb645a1c, e5cf94b5.fb645a1c
<burst 9, pair 2> e5cf94b5.fef9db22, e5cf94b6.01cac083, e5cf94b6.01cac083, e5cf94b6.01cac083
<burst 9, pair 3> e5cf94b6.04189374, e5cf94b6.06e978d4, e5cf94b6.06e978d4, e5cf94b6.06e978d4
<burst 9, pair 4> e5cf94b6.0978d4fd, e5cf94b6.0c083126, e5cf94b6.0c083126, e5cf94b6.0c083126
<burst 9, pair 5> e5cf94b6.0e978d4f, e5cf94b6.116872b0, e5cf94b6.116872b0, e5cf94b6.116872b0
<burst 9, pair 6> e5cf94b6.13b645a1, e5cf94b6.16872b02, e5cf94b6.16872b02, e5cf94b6.16872b02
<burst 9, pair 7> e5cf94b6.1916872b, e5cf94b6.1ba5e353, e5cf94b6.1ba5e353, e5cf94b6.1ba5e353
<burst 10, pair 0> e5cf952e.1e76c8b4, e5cf952e.210624dd, e5cf952e.2147ae14, e5cf952e.210624dd
<burst 10, pair 1> e5cf952e.24189374, e5cf952e.26a7ef9d, e5cf952e.26a7ef9d, e5cf952e.26a7ef9d
<burst 10, pair 2> e5cf952e.29fbe76c, e5cf952e.2c8b4395, e5cf952e.2c8b4395, e5cf952e.2c8b4395
<burst 10, pair 3> e5cf952e.2f1a9fbe, e5cf952e.31eb851e, e5cf952e.31eb851e, e5cf952e.31eb851e
