<burst #, pair #> T1, T2, T3, T4
<burst 0, pair 0> e5cfb0d1.9ef9db22, e5cfb0d1.b70a3d70, e5cfb0d1.bdf3b645, e5cfb0d1.b70a3d70
<burst 0, pair 1> e5cfb0d1.c9ba5e35, e5cfb0d1.e0418937, e5cfb0d1.e0418937, e5cfb0d1.e0418937
<burst 0, pair 2> e5cfb0d1.eb439581, e5cfb0d2.028f5c28, e5cfb0d2.028f5c28, e5cfb0d2.028f5c28
<burst 0, pair 3> e5cfb0d2.15810624, e5cfb0d2.2bc6a7ef, e5cfb0d2.2bc6a7ef, e5cfb0d2.2bc6a7ef
<burst 0, pair 4> e5cfb0d2.43d70a3d, e5cfb0d2.5ae147ae, e5cfb0d2.5ae147ae, e5cfb0d2.5ae147ae
<burst 0, pair 5> e5cfb0d2.683126e9, e5cfb0d2.7e76c8b4, e5cfb0d2.7eb851eb, e5cfb0d2.7e76c8b4
<burst 0, pair 6> e5cfb0d2.7eb851eb, e5cfb0d2.953f7ced, e5cfb0d2.953f7ced, e5cfb0d2.953f7ced
<burst 0, pair 7> e5cfb0d2.9020c49b, e5cfb0d2.a7ae147a, e5cfb0d2.a7ef9db2, e5cfb0d2.a7ae147a
<burst 1, pair 0> e5cfb14a.a8b43958, e5cfb14a.c3d70a3d, e5cfb14a.c4189374, e5cfb14a.c3d70a3d
<burst 1, pair 1> e5cfb14a.c72b020c, e5cfb14a.e1cac083, e5cfb14a.e1cac083, e5cfb14a.e1cac083
<burst 1, pair 2> e5cfb14a.f0a3d70a, e5cfb14b.0ac08312, e5cfb14b.0ac08312, e5cfb14b.0ac08312
<burst 1, pair 3> e5cfb14b.20418937, e5cfb14b.3a9fbe76, e5cfb14b.3ae147ae, e5cfb14b.3a9fbe76
<burst 1, pair 4> e5cfb14b.48f5c28f, e5cfb14b.628f5c28, e5cfb14b.62d0e560, e5cfb14b.628f5c28
<burst 1, pair 5> e5cfb14b.69374bc6, e5cfb14b.828f5c28, e5cfb14b.82d0e560, e5cfb14b.828f5c28
<burst 1, pair 6> e5cfb14b.83126e97, e5cfb14b.9e353f7c, e5cfb14b.9e76c8b4, e5cfb14b.9e353f7c
<burst 1, pair 7> e5cfb14b.a76c8b43, e5cfb14b.c20c49ba, e5cfb14b.c24dd2f1, e5cfb14b.c20c49ba
<burst 2, pair 0> e5cfb1c3.d5810624, e5cfb1c3.f47ae147, e5cfb1c3.f47ae147, e5cfb1c3.f47ae147
