<burst #, pair #> T1, T2, T3, T4
<burst 0, pair 0> e5cf9001.0b020c49, e5cf9001.21d2336a, e5cf9001.21d2fd86, e5cf8d0f.b452917c
<burst 0, pair 1> e5cf9001.245a1cac, e5cf9001.3a71104c, e5cf9001.3a71a699, e5cf8d0f.b452917c
<burst 0, pair 2> e5cf9001.3374bc6a, e5cf9001.491dee31, e5cf9001.491e6020, e5cf8d0f.b452917c
<burst 0, pair 3> e5cf9001.420c49ba, e5cf9001.57dc78a0, e5cf9001.57dd09f3, e5cf8d0f.b452917c
<burst 0, pair 4> e5cf9001.50e56041, e5cf9001.66a7c851, e5cf9001.66a84d76, e5cf8d0f.b452917c
<burst 0, pair 5> e5cf9001.5f7ced91, e5cf9001.75539b56, e5cf9001.7553fa1f, e5cf8d0f.b452917c
<burst 0, pair 6> e5cf9001.6e560418, e5cf9001.8454779c, e5cf9001.8454ff49, e5cf8d0f.b452917c
<burst 0, pair 7> e5cf9001.7d70a3d7, e5cf9001.933f3b12, e5cf9001.933fc6bb, e5cf8d0f.b452917c
<burst 1, pair 0> e5cf9079.93333333, e5cf9079.a9d4a0d2, e5cf9079.a9d52b95, e5cf902e.b4c0c984
<burst 1, pair 1> e5cf9079.a3d70a3d, e5cf9079.b98631f7, e5cf9079.b9869378, e5cf902e.b4c0c984
<burst 1, pair 2> e5cf9079.b2f1a9fb, e5cf9079.c8947c55, e5cf9079.c8950493, e5cf902e.b4c0c984
<burst 1, pair 3> e5cf9079.c20c49ba, e5cf9079.d910d132, e5cf9079.d9114624, e5cf902e.b4c0c984
<burst 1, pair 4> e5cf9079.d26e978d, e5cf9079.e7e96d2b, e5cf9079.e7e9d228, e5cf902e.b4c0c984
<burst 1, pair 5> e5cf9079.e189374b, e5cf9079.f718f457, e5cf9079.f7196a9c, e5cf902e.b4c0c984
<burst 1, pair 6> e5cf9079.f0e56041, e5cf907a.08714db7, e5cf907a.0871c537, e5cf902e.b4c0c984
<burst 1, pair 7> e5cf907a.01cac083, e5cf907a.177aaf3c, e5cf907a.177b1599, e5cf902e.b4c0c984
